,Concurso,Numeros,Ganhadores
88,2020,"[2, 3, 4, 5, 7, 8, 9, 12, 15, 16, 17, 19, 20, 21, 25]",4
89,2019,"[1, 3, 5, 6, 8, 9, 10, 11, 14, 17, 18, 20, 23, 24, 25]",2
90,2018,"[1, 3, 5, 6, 8, 9, 10, 11, 14, 17, 18, 20, 23, 24, 25]",2
91,2017,"[1, 2, 3, 4, 5, 8, 13, 15, 16, 19, 20, 21, 22, 24, 25]",1
92,2016,"[1, 2, 3, 4, 5, 8, 11, 12, 13, 14, 17, 18, 20, 21, 22]",0
93,2015,"[2, 3, 4, 5, 6, 8, 9, 11, 13, 15, 17, 18, 20, 23, 25]",7
94,2014,"[3, 4, 6, 7, 8, 9, 10, 15, 16, 17, 18, 19, 22, 23, 25]",0
95,2013,"[1, 2, 4, 7, 8, 10, 11, 14, 16, 19, 20, 21, 23, 24, 25]",5
96,2012,"[1, 3, 4, 6, 9, 10, 12, 15, 16, 17, 18, 20, 22, 24, 25]",0
97,2011,"[1, 5, 7, 10, 11, 13, 16, 18, 19, 20, 21, 22, 23, 24, 25]",4
98,2010,"[2, 3, 4, 5, 6, 10, 11, 12, 16, 19, 20, 21, 22, 24, 25]",1
99,2009,"[1, 2, 3, 4, 5, 7, 12, 13, 15, 16, 17, 19, 20, 22, 24]",4
100,2008,"[2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 17, 21, 23, 25]",0
101,2007,"[1, 3, 5, 6, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 24]",0
102,2006,"[1, 2, 4, 5, 7, 8, 10, 13, 17, 19, 20, 21, 23, 24, 25]",1
103,2005,"[3, 6, 8, 9, 11, 12, 13, 15, 17, 18, 19, 21, 22, 24, 25]",1
104,2004,"[1, 3, 4, 8, 10, 11, 12, 13, 14, 15, 18, 19, 21, 22, 25]",1
105,2003,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 15, 17, 20, 22, 24, 25]",1
106,2002,"[2, 3, 5, 8, 10, 12, 13, 14, 16, 17, 18, 19, 20, 24, 25]",1
107,2001,"[1, 2, 3, 6, 7, 9, 10, 11, 16, 17, 19, 20, 21, 22, 25]",1
108,2000,"[2, 3, 4, 7, 11, 12, 14, 16, 17, 18, 19, 20, 22, 23, 24]",2
109,1999,"[3, 4, 6, 7, 8, 9, 13, 15, 17, 19, 20, 22, 23, 24, 25]",3
110,1998,"[1, 3, 4, 5, 6, 10, 11, 12, 13, 14, 17, 19, 20, 22, 24]",1
111,1997,"[2, 4, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 20, 21, 22]",1
112,1996,"[2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 22, 25]",4
113,1995,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 18, 19, 20, 23, 25]",6
114,1994,"[3, 4, 5, 6, 7, 8, 9, 11, 12, 17, 19, 20, 22, 24, 25]",6
115,1993,"[1, 3, 4, 5, 6, 8, 9, 10, 13, 15, 16, 20, 21, 22, 23]",0
116,1992,"[3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 19, 20, 21, 22, 23]",3
117,1991,"[1, 2, 5, 6, 7, 8, 10, 14, 15, 16, 17, 18, 20, 22, 24]",5
118,1990,"[4, 6, 7, 8, 9, 11, 13, 14, 16, 17, 19, 20, 23, 24, 25]",0
119,1989,"[1, 2, 4, 6, 7, 9, 10, 11, 12, 16, 17, 19, 23, 24, 25]",2
120,1988,"[2, 5, 6, 7, 9, 11, 12, 14, 15, 17, 19, 21, 22, 23, 24]",8
121,1987,"[2, 3, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17, 19, 21, 22]",3
122,1986,"[1, 4, 5, 7, 8, 10, 11, 12, 13, 15, 17, 18, 21, 23, 24]",9
123,1985,"[1, 2, 3, 6, 7, 9, 11, 12, 14, 15, 17, 21, 22, 23, 24]",2
124,1984,"[2, 4, 5, 10, 11, 12, 13, 14, 16, 19, 20, 21, 23, 24, 25]",0
125,1983,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 16, 19, 20, 23, 24]",3
126,1982,"[1, 2, 3, 4, 5, 7, 14, 15, 16, 17, 18, 19, 20, 22, 25]",1
127,1981,"[1, 2, 3, 4, 5, 6, 7, 12, 13, 15, 17, 20, 23, 24, 25]",5
128,1980,"[3, 4, 5, 7, 9, 10, 13, 16, 17, 18, 19, 21, 22, 23, 24]",3
129,1979,"[4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 21, 22, 25]",2
130,1978,"[1, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 20, 23, 24]",3
131,1977,"[1, 3, 4, 5, 7, 10, 12, 13, 15, 16, 17, 18, 19, 22, 23]",5
132,1976,"[1, 3, 7, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 22, 24]",7
133,1975,"[2, 5, 7, 8, 9, 10, 11, 12, 13, 16, 17, 20, 22, 23, 25]",2
134,1974,"[1, 2, 4, 5, 6, 9, 10, 11, 12, 16, 20, 21, 23, 24, 25]",3
135,1973,"[2, 3, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 23, 25]",2
136,1972,"[2, 3, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 23, 25]",2
137,1971,"[3, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 23, 25]",0
138,1969,"[1, 3, 4, 5, 6, 7, 9, 13, 16, 17, 18, 19, 21, 24, 25]",0
139,1968,"[1, 2, 3, 4, 5, 7, 9, 13, 14, 16, 18, 20, 22, 23, 25]",2
140,1967,"[1, 2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 23, 24]",2
141,1966,"[1, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 18, 19, 24]",3
142,1965,"[1, 2, 4, 5, 6, 10, 12, 16, 19, 20, 21, 22, 23, 24, 25]",0
143,1964,"[1, 2, 3, 5, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 23]",0
144,1963,"[3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 24, 25]",3
145,1962,"[1, 2, 3, 4, 6, 9, 12, 13, 14, 15, 16, 19, 20, 21, 22]",1
146,1961,"[2, 4, 5, 7, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24]",2
147,1960,"[2, 3, 7, 9, 10, 12, 13, 15, 17, 18, 20, 21, 23, 24, 25]",10
148,1959,"[1, 2, 3, 6, 7, 9, 10, 12, 13, 16, 17, 18, 20, 24, 25]",0
149,1958,"[2, 3, 5, 6, 7, 8, 11, 15, 17, 18, 20, 21, 22, 23, 25]",4
150,1957,"[1, 2, 3, 4, 5, 7, 11, 14, 15, 16, 17, 19, 20, 23, 25]",1
151,1956,"[3, 4, 6, 7, 8, 9, 10, 14, 15, 16, 19, 20, 21, 22, 23]",0
152,1955,"[1, 2, 4, 5, 9, 12, 14, 15, 16, 19, 20, 22, 23, 24, 25]",2
153,1954,"[2, 3, 4, 6, 7, 8, 10, 13, 16, 18, 21, 22, 23, 24, 25]",2
154,1953,"[1, 3, 4, 5, 6, 9, 10, 15, 16, 18, 19, 20, 21, 22, 23]",1
155,1952,"[3, 5, 7, 9, 10, 11, 13, 14, 16, 17, 18, 20, 21, 22, 24]",6
156,1951,"[3, 4, 6, 9, 10, 11, 12, 13, 16, 18, 19, 20, 22, 23, 25]",4
157,1950,"[2, 3, 4, 6, 8, 9, 10, 11, 12, 16, 18, 20, 21, 23, 25]",2
158,1949,"[2, 3, 5, 6, 8, 10, 11, 14, 15, 16, 19, 20, 22, 23, 25]",5
159,1948,"[1, 3, 7, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 24]",3
160,1947,"[2, 5, 6, 9, 11, 13, 14, 15, 16, 18, 19, 22, 23, 24, 25]",2
161,1946,"[1, 2, 3, 4, 6, 7, 10, 11, 13, 14, 15, 20, 21, 22, 23]",1
162,1945,"[3, 4, 5, 8, 9, 10, 12, 15, 17, 19, 20, 22, 23, 24, 25]",5
163,1944,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 16, 18, 22, 23, 24]",11
164,1943,"[2, 3, 6, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23]",2
165,1942,"[1, 2, 3, 4, 7, 8, 10, 11, 12, 13, 15, 18, 20, 24, 25]",2
166,1941,"[1, 3, 4, 5, 8, 10, 12, 13, 14, 16, 17, 20, 22, 24, 25]",9
167,1940,"[1, 5, 8, 10, 11, 12, 13, 15, 17, 18, 21, 22, 23, 24, 25]",0
168,1939,"[2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 19, 20, 22, 23, 24]",6
169,1938,"[3, 4, 6, 7, 8, 10, 11, 12, 16, 18, 19, 20, 21, 22, 25]",2
170,1937,"[3, 4, 5, 6, 9, 10, 11, 12, 15, 17, 19, 21, 22, 23, 24]",4
171,1936,"[2, 3, 4, 5, 6, 8, 11, 13, 14, 15, 17, 19, 20, 21, 25]",4
172,1935,"[1, 3, 5, 6, 7, 8, 10, 12, 15, 16, 17, 18, 22, 23, 24]",3
173,1934,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 20, 23, 24, 25]",4
174,1933,"[1, 7, 9, 10, 11, 12, 13, 16, 19, 20, 21, 22, 23, 24, 25]",1
175,1932,"[2, 4, 6, 8, 9, 10, 11, 12, 14, 16, 17, 19, 20, 22, 24]",20
176,1931,"[3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 18, 19, 22, 23]",4
177,1930,"[1, 2, 4, 5, 7, 8, 10, 13, 14, 16, 17, 21, 22, 23, 24]",2
178,1929,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 15, 19, 20, 22, 25]",5
179,1928,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 15, 16, 19, 23, 24, 25]",1
180,1927,"[1, 2, 4, 5, 8, 10, 11, 13, 15, 17, 18, 21, 22, 23, 24]",4
181,1926,"[1, 4, 5, 6, 9, 10, 13, 14, 15, 16, 17, 18, 21, 23, 24]",4
182,1925,"[1, 2, 3, 4, 5, 6, 7, 9, 13, 14, 16, 18, 20, 21, 23]",1
183,1924,"[2, 3, 8, 9, 10, 11, 12, 13, 14, 17, 18, 22, 23, 24, 25]",3
184,1923,"[1, 4, 5, 7, 10, 11, 12, 14, 17, 19, 20, 22, 23, 24, 25]",16
185,1922,"[2, 3, 4, 5, 6, 7, 8, 10, 12, 16, 17, 18, 19, 23, 25]",1
186,1921,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 18, 21, 24]",5
187,1920,"[2, 4, 6, 9, 10, 11, 12, 13, 14, 17, 18, 20, 21, 22, 25]",4
188,1919,"[1, 2, 3, 5, 6, 9, 10, 11, 15, 19, 20, 21, 22, 23, 24]",3
189,1918,"[2, 4, 5, 6, 7, 9, 10, 11, 12, 17, 18, 19, 20, 22, 24]",5
190,1917,"[1, 2, 3, 4, 10, 13, 14, 15, 17, 19, 20, 21, 23, 24, 25]",1
191,1916,"[4, 5, 6, 7, 8, 10, 11, 13, 15, 18, 19, 20, 23, 24, 25]",4
192,1915,"[2, 4, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 25]",5
193,1914,"[2, 4, 5, 8, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 25]",0
194,1913,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 19, 20, 24, 25]",2
195,1912,"[2, 5, 6, 7, 8, 9, 10, 14, 16, 18, 20, 21, 22, 23, 24]",1
196,1911,"[1, 2, 4, 5, 8, 11, 12, 13, 14, 15, 19, 21, 22, 24, 25]",2
197,1910,"[2, 3, 4, 7, 9, 10, 12, 13, 14, 15, 16, 18, 22, 23, 25]",3
198,1909,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 17, 18, 22, 25]",1
199,1908,"[2, 4, 6, 7, 8, 12, 13, 14, 16, 17, 20, 22, 23, 24, 25]",3
200,1907,"[1, 3, 4, 5, 9, 10, 13, 15, 16, 17, 19, 21, 23, 24, 25]",4
201,1906,"[1, 2, 3, 4, 6, 7, 10, 11, 14, 16, 17, 18, 23, 24, 25]",3
202,1905,"[1, 3, 6, 8, 9, 11, 12, 15, 16, 17, 18, 19, 21, 23, 24]",2
203,1904,"[1, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 23, 25]",1
204,1903,"[4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 19, 20, 21, 23, 24]",1
205,1902,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 15, 16, 17, 22, 23, 25]",3
206,1901,"[2, 3, 4, 5, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20]",2
207,1900,"[2, 3, 4, 5, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20]",2
208,1899,"[1, 5, 6, 7, 8, 10, 11, 12, 13, 16, 17, 18, 19, 22, 25]",4
209,1898,"[5, 6, 8, 9, 10, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23]",4
210,1897,"[1, 3, 4, 5, 7, 8, 12, 13, 14, 15, 16, 17, 20, 21, 24]",0
211,1896,"[1, 2, 3, 6, 8, 9, 12, 15, 16, 17, 18, 20, 21, 22, 24]",2
212,1895,"[1, 2, 3, 4, 6, 8, 9, 10, 13, 14, 19, 22, 23, 24, 25]",1
213,1894,"[2, 4, 5, 8, 9, 11, 12, 15, 16, 17, 18, 19, 21, 22, 25]",4
214,1893,"[2, 3, 4, 5, 7, 9, 10, 14, 15, 16, 19, 20, 21, 22, 25]",3
215,1892,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 19, 20, 21, 23, 24, 25]",1
216,1891,"[3, 4, 6, 7, 11, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25]",4
217,1890,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 15, 16, 17, 21, 23]",1
218,1889,"[1, 2, 4, 6, 7, 11, 13, 14, 15, 19, 20, 22, 23, 24, 25]",2
219,1888,"[2, 4, 6, 7, 8, 11, 12, 14, 17, 18, 20, 22, 23, 24, 25]",6
220,1887,"[1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 22]",1
221,1886,"[1, 2, 3, 6, 9, 11, 12, 14, 15, 16, 19, 20, 21, 22, 25]",1
222,1885,"[1, 3, 5, 8, 9, 10, 11, 12, 14, 17, 18, 21, 22, 23, 25]",6
223,1884,"[1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 14, 16, 17, 23, 25]",2
224,1883,"[1, 2, 3, 4, 5, 8, 11, 13, 15, 16, 17, 18, 21, 22, 23]",1
225,1882,"[1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16, 22, 23, 24]",1
226,1881,"[1, 3, 4, 5, 10, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25]",0
227,1880,"[1, 3, 4, 5, 10, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25]",0
228,1879,"[1, 4, 5, 6, 7, 9, 11, 13, 15, 18, 19, 20, 22, 23, 24]",4
229,1878,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 15, 17, 19, 23, 24, 25]",3
230,1877,"[2, 4, 8, 9, 11, 12, 13, 14, 15, 18, 19, 21, 23, 24, 25]",1
231,1876,"[1, 2, 3, 4, 7, 8, 11, 13, 16, 18, 19, 20, 22, 23, 24]",4
232,1875,"[1, 3, 4, 5, 7, 8, 13, 14, 16, 18, 19, 21, 22, 23, 24]",0
233,1874,"[1, 5, 6, 8, 9, 10, 13, 14, 17, 19, 20, 21, 22, 24, 25]",1
234,1873,"[1, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 17, 19, 21, 23]",7
235,1872,"[1, 2, 6, 8, 9, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25]",0
236,1871,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 18, 20, 22, 23, 24]",2
237,1870,"[1, 2, 3, 4, 6, 7, 10, 15, 16, 18, 20, 21, 22, 24, 25]",1
238,1869,"[1, 2, 4, 10, 11, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25]",1
239,1868,"[1, 2, 4, 5, 6, 8, 10, 11, 13, 14, 16, 17, 19, 21, 24]",3
240,1867,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 25]",1
241,1866,"[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 16, 20, 21, 23, 25]",2
242,1865,"[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 16, 20, 21, 23, 25]",2
243,1864,"[2, 3, 5, 6, 7, 10, 11, 12, 14, 17, 19, 20, 21, 24, 25]",7
244,1863,"[2, 3, 4, 5, 6, 8, 9, 10, 14, 16, 18, 21, 22, 24, 25]",1
245,1862,"[2, 3, 4, 5, 7, 10, 11, 13, 16, 18, 19, 20, 21, 23, 24]",4
246,1861,"[2, 3, 5, 6, 7, 8, 9, 13, 14, 16, 18, 22, 23, 24, 25]",33
247,1860,"[1, 2, 3, 4, 5, 10, 11, 15, 17, 18, 19, 21, 22, 23, 24]",2
248,1859,"[3, 6, 7, 8, 9, 12, 13, 16, 17, 19, 20, 21, 22, 24, 25]",5
249,1858,"[2, 3, 4, 7, 8, 9, 11, 13, 15, 17, 18, 20, 21, 22, 25]",10
250,1857,"[2, 4, 6, 7, 8, 9, 14, 15, 16, 17, 20, 22, 23, 24, 25]",0
251,1856,"[1, 3, 4, 7, 8, 10, 11, 12, 13, 16, 17, 18, 20, 21, 23]",3
252,1855,"[1, 4, 5, 7, 11, 12, 13, 14, 15, 16, 17, 20, 23, 24, 25]",2
253,1854,"[3, 4, 5, 6, 8, 11, 13, 14, 15, 16, 17, 18, 20, 22, 24]",5
254,1853,"[1, 3, 5, 9, 10, 11, 13, 14, 15, 16, 17, 20, 22, 23, 24]",3
255,1852,"[1, 3, 6, 9, 10, 12, 13, 17, 18, 19, 20, 21, 23, 24, 25]",4
256,1851,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 16, 19, 20, 22, 23, 25]",1
257,1850,"[4, 5, 7, 10, 11, 12, 14, 15, 16, 18, 20, 21, 23, 24, 25]",6
